Layer,0_inputs,0_inputs,0_inputs,1_classifier,2_embedding,2_embedding,3_covarince
Column,idx,labelled,label,score,emb_0,emb_1,covariance
AFM_0000,0,1,0,0.4960787362604452,,,
AFM_0001,1,1,0,0.5004448879052108,,,
AFM_0002,2,1,0,0.5004448879052108,,,
AFM_0003,3,0,,0.5004448879052108,,,
AFM_0004,4,0,,0.5004448879052108,,,
AFM_0005,5,1,1,0.5021003283516081,,,
AFM_0006,6,1,1,0.5004448879052108,,,
AFM_0007,7,0,,0.5004448879052108,,,
AFM_0008,8,0,,0.5004448879052108,,,
AFM_0009,9,0,,0.5004448879052108,,,
AFM_0010,10,1,2,0.5015770936800372,,,
AFM_0011,11,1,2,0.5012862278575964,,,
AFM_0012,12,0,,0.5004448879052108,,,
AFM_0013,13,0,,0.5004448879052108,,,
AFM_0014,14,0,,0.5004448879052108,,,
AFM_0015,15,0,,0.5004448879052108,,,
AFM_0016,16,0,,0.5004448879052108,,,
AFM_0017,17,0,,0.5004448879052108,,,
AFM_0018,18,0,,0.5004448879052108,,,
AFM_0019,19,0,,0.5004448879052108,,,
